,Smiles,S_Hit
64863,Cc1cc(Nc2ccc(OCc3ccccc3)cc2)nc4cc(O)ccc14,Yes
64864,Cc1cc(NCCN2CCCCC2)c3ccc4ccccc4c3n1,Yes
64868,Cc1ccc(F)cc1NC(=O)c2cc(Cl)ccc2Nc3ccccc3,Yes
64876,Oc1ccccc1NC(=O)c2oc(cc2)c3ccc(Cl)cc3Cl,Yes
64877,CCN(Cc1ccccc1)C2CCN(Cc3cc(Br)ccc3O)CC2,Yes
64878,Cc1[nH]c(cc1C(=O)NC2CCN(Cc3ccccc3)CC2)c4ccc(F)cc4,Yes
64879,COc1cccc(O)c1CN2CCC3(CCCN(Cc4ccc(F)cc4)C3)C2,Yes
64880,Oc1ccccc1CN2CCC3(CCCN(Cc4ccccc4F)C3)C2,Yes
64881,FC(F)(F)c1cccc(CNC2CCN(CCc3ccccc3)CC2)c1,Yes
64884,COc1ccc(CNC2CCN(CC2)c3ccc(NC(=O)c4cccc(Cl)c4)cc3)cc1OC,Yes
64886,n1(c2c(cccc2)n3)c3c4c(cccc4)NC1(C)c5ccccc5,Yes
64887,n1(c2c(cccc2)n3)c3c4c(cccc4)NC1(C)c5cccc(OC)c5,Yes
64888,C12(Nc(cccc3)c3c4n1c5c(cccc5)n4)C(=O)Nc(ccc(OC)c6)c26,Yes
64889,COc1ccc(cc1)c2nc3cc(Cc4ccc5[nH]c(nc5c4)c6ccc(OC)cc6)ccc3[nH]2,Yes
64890,Nc1ccc(cc1)c2nc3cc(Cc4ccc5[nH]c(nc5c4)c6ccc(N)cc6)ccc3[nH]2,Yes
64891,Nc1ccc(cc1)c2nc3cc(Oc4ccc(Oc5ccc6[nH]c(nc6c5)c7ccc(N)cc7)cc4)ccc3[nH]2,Yes
64892,CCOC(=O)c1c(NC(=O)c2ccccc2)sc3c(O)c(CN(CC)CC)ccc13,Yes
64893,n1c(NCCO)c2c(cccc2)nc1Nc(ccc(C)c3C)c3,Yes
64894,OCCNc1nc(Nc2ccc(Cl)c(Cl)c2)nc3ccccc13,Yes
64895,Cc1ccc(Nc2nc(N)c3ccccc3n2)cc1Cl,Yes
64896,n1c(NCCO)c2c(cccc2)nc1Nc3cccc(OC)c3,Yes
64898,COc1cccc(Nc2nc(N)c3ccccc3n2)c1,Yes
64899,n1c(N)c2c(cccc2)nc1Nc3cccc(F)c3,Yes
64900,n1c(NCc2ccccc2)c3c(cccc3)nc1Nc(cc4)ccc4OC,Yes
64901,C(Nc1nc(Nc2ccccc2)nc3ccccc13)c4ccccc4,Yes
64902,c1(N(CC2)CCN2C)c3c(nc(Nc(ccc4O)cc4)n1)cccc3,Yes
64903,Cc1oc(CN2CCC(CC2)C(=O)Nc3ccc(cc3)c4cc5ccccc5[nH]4)cc1,Yes
64905,COc1ccc(CN2CCCC(C2)C(=O)c3ccc(cc3)C(F)(F)F)c(O)c1,Yes
64906,CCOC(=O)C1(Cc2ccccc2)CCN(Cc3cccc(OC)c3O)CC1,Yes
64907,CCC1(C)CC(CCNCc2ccccc2O)(CCO1)c3ccc(C)cc3,Yes
64910,CC(C)(C)c1ccc(O)c(CNC2CCCCC2)c1,Yes
64912,COc1ccc(cc1Cl)C(=O)Nc2nonc2c3ccc(OC)c(OC)c3,Yes
64913,COc1ccc(cc1OC)c2nonc2NC(=O)c3cccc(Cl)c3,Yes
64914,CCOc1ccc(cc1OCC)c2nonc2NC(=O)c3cccc(C)c3,Yes
64918,CSc1ccccc1C(=O)Nc2nc(cs2)c3ccccn3,Yes
