,Smiles,Hit
13707,CN1CCN(Cc2ccccc2Oc2nccc3occc23)CC1,Yes
13768,Cc1ccc(CN2CCC3(CCN(S(=O)(=O)c4ccccc4)C3)C2)o1,Yes
13837,c1ccc(CCN2CCCC2c2cccc(Nc3nccs3)n2)cc1,Yes
13860,O=C(NCc1cc2n(n1)CCCNC2)C1(c2ccccc2)CCCCC1,Yes
13968,Clc1cccc2c3c([nH]c12)CCN(Cc1cc2n(n1)CCNC2)C3,Yes
14038,O=C(NCCCOCC1CC1)Nc1ccc(-n2cncn2)c(F)c1,Yes
14222,CCC1CN(C(=O)c2ccc(Cl)cc2O)CCN1C(C)C,Yes
14314,O=S(=O)(NCCN1CC=CC1)c1ccc(Cl)cc1,Yes
14446,COC(=O)c1cc(OCC2CCC2)cc(C(=O)N[C@@H]2CNCC[C@H]2O)c1,Yes
14457,Cc1cc(C)c2cc(CNC3CCCCC3)c3nn(C)c(=O)n3c2c1,Yes
14459,c1cc(N2CCC(CN3CCOCC3)CC2)c2sccc2n1,Yes
14478,Cc1nc(CCN)cc(N2CCC(O)(c3ccc(Cl)cc3)CC2)n1,Yes
14484,c1ccc2sc(N3CCCN(c4ncnc5c4CCNC5)CC3)nc2c1,Yes
14495,CCCn1ncc(CN2CCCC(C(=O)c3ccc(Cl)cc3C)C2)c1C,Yes
14538,CC(CNS(=O)(=O)c1cccc(Cl)c1)N1CCN(C)CC1,Yes
14542,c1ccc(NC[C@@H]2CCC[C@@H]3CN(c4ncccn4)C[C@@H]32)nc1,Yes
14545,Cc1cccc(CN2CCC3(CCN(c4ncccn4)CC3)C2=O)c1,Yes
14650,Cc1cc(-n2cccn2)ccc1CN1CCOCC(CN(C)C)C1,Yes
14759,CCC[C@H]1CN(c2nc(CO)cs2)C[C@@H]1NC(=O)C1(COC)CC1,Yes
14763,CN(CCc1cccc2ccccc12)Cc1nc(N)nc(N(C)C)n1,Yes
14813,CC(NCc1ccc(OCC(N)=O)cc1)c1ccc2c(c1)CCCC2,Yes
14883,Clc1cccc(C[C@@H]2NCCC[C@@H]2Nc2ccccc2)c1,Yes
14894,Cc1ccc(-c2nc(CNC(C)CCO)[nH]c2-c2ccccn2)cc1,Yes
14951,Cc1ccccc1N1CCCN(CC2(O)CCCNC2)CC1,Yes
14976,Cc1ccsc1CN(CCCN(C)C)Cc1ccccn1,Yes
15126,CCc1[nH]c2c(CNc3nccc(N)n3)cc(C)cc2c1C,Yes
15452,CC(C)N1CCCC1c1nc(N(C)C)ncc1I,Yes
15510,CCN1CCC2(CC1)CC(NCc1cccs1)c1ccccc1O2,Yes
15567,c1cncc(N2CCCC3(CCN(CCN4CCCC4)CC3)C2)c1,Yes
15643,O=C(CC1CCCC1)NCCNCc1cccc2c1OCCO2,Yes
15903,NCC1CCN(c2nc(C3CCCC3)nc3c2CCNCC3)C1,Yes
15916,COCC1CC2(CCN(Cc3ccoc3)CC2)CN1C(C)C,Yes
15918,Cc1ccc(-n2cnnn2)cc1NCC(=O)Nc1cc(F)ccc1F,Yes
15975,CN1CCC2(CC1)CN(Cc1ccc(C3CCCCO3)o1)CCCN2C,Yes
16064,Clc1ccccc1C1(c2ccnc(CC3CC3)n2)CCNCC1,Yes
16256,CCC(CC)(CN)NC(C)c1ccccc1,Yes
16376,Cc1noc(C)c1CNCc1ccccc1N(C)C1CCN(C)CC1,Yes
16617,Brc1cccc(C2(CNCc3cc[nH]c3)CCOCC2)c1,Yes
16678,COc1ccc(C[C@H]2CN(Cc3ccoc3)CC[C@H]2OC)cc1,Yes
16746,CCc1ccc2nc(NCCCN(CCO)CCO)cc(C)c2c1,Yes
16837,O=C(c1ccoc1)N1CCC2(CC1)C(=O)N(CC1CC1)c1ccccc12,Yes
16841,Cc1c[nH]c(CN2CCC3(CCCN(Cc4ccc(F)c(F)c4)C3)C2)n1,Yes
16913,CN1CCCC1CNC(=O)CCCOc1cccc(Br)c1,Yes
